 Nx
          31
 Ny
          31
 Nz
          44
 Escat_x Data
-0.21859130E+00  0.16874793E+00
-0.22303007E+00  0.15302181E+00
-0.21736036E+00  0.14331711E+00
-0.20241878E+00  0.13961416E+00
-0.17897493E+00  0.14043206E+00
-0.14802036E+00  0.14300472E+00
-0.11128877E+00  0.14365826E+00
-0.71842636E-01  0.13849601E+00
-0.34458417E-01  0.12445589E+00
-0.54697932E-02  0.10066231E+00
 0.82414774E-02  0.69762582E-01
 0.12130159E-02  0.38691797E-01
-0.27966225E-01  0.18189547E-01
-0.74158776E-01  0.20557164E-01
-0.12451168E+00  0.55685348E-01
-0.15981725E+00  0.12621843E+00
-0.15899350E+00  0.22355430E+00
-0.10608585E+00  0.32675772E+00
 0.22208163E-02  0.40598272E+00
 0.15158715E+00  0.43054742E+00
 0.31042164E+00  0.37975268E+00
 0.43711498E+00  0.25270597E+00
 0.49289061E+00  0.72782833E-01
 0.45608197E+00 -0.11637450E+00
 0.32990193E+00 -0.25994666E+00
 0.15496096E+00 -0.30223379E+00
 0.17330619E-01 -0.22847556E+00
-0.14483298E-01 -0.11316286E+00
 0.14197431E-01 -0.49546046E-01
 0.20718449E-01 -0.26137008E-01
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
-0.25253725E-02  0.60983193E-02
 0.22713504E-02  0.80497947E-02
 0.17233060E-01  0.13062003E-01
 0.31918311E-01  0.32638085E-01
 0.30802653E-01  0.62798271E-01
 0.11094910E-01  0.90514345E-01
-0.20331949E-01  0.10795943E+00
-0.55959888E-01  0.11394669E+00
-0.90515057E-01  0.11001425E+00
-0.12035810E+00  0.98812745E-01
-0.14335408E+00  0.83830134E-01
-0.15872668E+00  0.68581786E-01
-0.16661758E+00  0.55997980E-01
-0.16755876E+00  0.48068658E-01
-0.16203544E+00  0.45680148E-01
-0.15025776E+00  0.48552470E-01
-0.13220503E+00  0.55220415E-01
-0.10795852E+00  0.63075232E-01
-0.78282370E-01  0.68565897E-01
-0.45323220E-01  0.67711781E-01
-0.13177932E-01  0.57056359E-01
 0.12037469E-01  0.35054105E-01
 0.23010567E-01  0.36237913E-02
 0.13174198E-01 -0.30712647E-01
-0.20419896E-01 -0.56902149E-01
-0.74077082E-01 -0.61353814E-01
-0.13561108E+00 -0.32028283E-01
-0.18514242E+00  0.36147087E-01
-0.19946218E+00  0.13635027E+00
-0.15957870E+00  0.24784672E+00
-0.59380646E-01  0.33894837E+00
 0.87982671E-01  0.37547704E+00
 0.24954913E+00  0.33288417E+00
 0.37983140E+00  0.20789615E+00
 0.43497400E+00  0.24550816E-01
 0.38926202E+00 -0.16930793E+00
 0.24526943E+00 -0.31173843E+00
 0.49757194E-01 -0.33873892E+00
-0.95697696E-01 -0.23373248E+00
-0.10814097E+00 -0.86913269E-01
-0.41740020E-01 -0.14514991E-01
-0.25303777E-02 -0.48023842E-02
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
-0.29559183E-01  0.22741491E-02
-0.55234478E-01 -0.32669402E-02
-0.69473964E-01 -0.17453999E-01
-0.71080281E-01 -0.29778299E-01
-0.69302861E-01 -0.35813987E-01
-0.69955724E-01 -0.39487302E-01
-0.73047633E-01 -0.44490772E-01
-0.76839919E-01 -0.51749838E-01
-0.79816891E-01 -0.60598966E-01
-0.81074517E-01 -0.69682671E-01
-0.80466738E-01 -0.77433403E-01
-0.78382694E-01 -0.82478001E-01
-0.75379390E-01 -0.83856028E-01
-0.71821648E-01 -0.81082098E-01
-0.67627685E-01 -0.74145810E-01
-0.62174262E-01 -0.63543441E-01
-0.54394452E-01 -0.50388957E-01
-0.43097436E-01 -0.36575398E-01
-0.27524342E-01 -0.24869630E-01
-0.80915605E-02 -0.18749991E-01
 0.12854309E-01 -0.21781289E-01
 0.30610027E-01 -0.36420402E-01
 0.38471431E-01 -0.62394899E-01
 0.29257052E-01 -0.95160629E-01
-0.19699637E-02 -0.12527698E+00
-0.54578536E-01 -0.13960496E+00
-0.11972970E+00 -0.12481597E+00
-0.18007092E+00 -0.72757607E-01
-0.21306344E+00  0.13972878E-01
-0.19801248E+00  0.11878607E+00
-0.12505172E+00  0.21266511E+00
-0.26814974E-02  0.26163505E+00
 0.14007126E+00  0.23877420E+00
 0.25953426E+00  0.13678648E+00
 0.31098661E+00 -0.24310731E-01
 0.26579480E+00 -0.19900430E+00
 0.12346735E+00 -0.32507932E+00
-0.70056794E-01 -0.33572303E+00
-0.20865208E+00 -0.21142664E+00
-0.20058227E+00 -0.46870178E-01
-0.10030455E+00  0.28126262E-01
-0.28310764E-01  0.21135148E-01
